repository_name,file_path,language,loc,complexity,maintainability_index,commit_count,modification_count,contributor_count,commit_frequency,repository_age_days,bug_fix_commit_count,historical_risk_label
axios,tests/module/esm/tests/typings.module.test.js,javascript,27,2,-1.0,4,4,2,0.0009269988412514,4315,4,HIGH
axios,tests/module/esm/tests/ts.module.test.js,javascript,32,2,-1.0,4,4,2,0.0009269988412514,4315,4,HIGH
axios,tests/module/esm/tests/fixture-cleanup.module.test.js,javascript,21,2,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/module/esm/tests/helpers/fixture.js,javascript,15,3,-1.0,3,3,2,0.0006952491309385,4315,3,HIGH
axios,tests/module/esm/tests/helpers/run-command.js,javascript,29,8,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/setup/server.js,javascript,210,62,-1.0,6,6,1,0.0013904982618771,4315,6,HIGH
axios,tests/setup/browser.setup.js,javascript,4,1,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/defaults.browser.test.js,javascript,216,33,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/promise.browser.test.js,javascript,98,20,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/options.browser.test.js,javascript,168,27,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/adapter.browser.test.js,javascript,157,34,-1.0,3,3,1,0.0006952491309385,4315,3,HIGH
axios,tests/browser/progress.browser.test.js,javascript,189,32,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/cookies.browser.test.js,javascript,66,14,-1.0,2,2,1,0.0004634994206257,4315,2,MEDIUM
axios,tests/browser/headers.browser.test.js,javascript,209,37,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,tests/browser/settle.browser.test.js,javascript,82,9,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/basicAuth.browser.test.js,javascript,129,22,-1.0,2,2,1,0.0004634994206257,4315,2,MEDIUM
axios,tests/browser/requests.browser.test.js,javascript,428,76,-1.0,3,3,2,0.0006952491309385,4315,3,HIGH
axios,tests/browser/transform.browser.test.js,javascript,214,31,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/toFormData.browser.test.js,javascript,96,10,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/cancelToken.browser.test.js,javascript,70,24,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/formdata.browser.test.js,javascript,85,17,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/cancel.browser.test.js,javascript,175,50,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,tests/browser/interceptors.browser.test.js,javascript,599,128,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/xsrf.browser.test.js,javascript,176,35,-1.0,3,3,1,0.0006952491309385,4315,3,HIGH
axios,tests/browser/isURLSameOrigin.browser.test.js,javascript,10,3,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/browser/instance.browser.test.js,javascript,206,33,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,docs/scripts/process-sponsors.js,javascript,238,61,-1.0,3,3,1,0.0006952491309385,4315,3,HIGH
axios,docs/scripts/utils.js,javascript,10,3,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,sandbox/client.js,javascript,14,2,-1.0,4,4,4,0.0009269988412514,4315,3,HIGH
axios,sandbox/server.js,javascript,79,16,-1.0,9,9,9,0.0020857473928157,4315,4,HIGH
